Timestamp,Source,Target,Rate
1775574000,EUR,USD,1.1575413942337036
1775574000,EUR,TWD,37.037330627441406
1775574000,EUR,JPY,185.01499938964844
1775574000,JPY,USD,0.006254260462043798
1775574000,JPY,EUR,0.005404967182655083
1775574000,TWD,USD,0.031293028526012096
1775574000,TWD,EUR,0.026999785974291785
1775574000,USD,TWD,31.95599937438965
1775574000,USD,EUR,0.8638999909476269
1775574000,USD,JPY,159.89100646972656
1775577600,EUR,USD,1.1574074029922485
1775577600,EUR,TWD,37.02610397338867
1775577600,EUR,JPY,185.02699279785156
1775577600,JPY,USD,0.006253791365786772
1775577600,JPY,EUR,0.005404616833893716
1775577600,TWD,USD,0.031296945746938434
1775577600,TWD,EUR,0.027007972556840384
1775577600,USD,TWD,31.95199966430664
1775577600,USD,EUR,0.8640000032958984
1775577600,USD,JPY,159.9029998779297
1775581200,EUR,USD,1.158077597618103
1775581200,EUR,TWD,37.02590560913086
1775581200,EUR,JPY,184.98599243164062
1775581200,JPY,USD,0.006258566183267809
1775581200,JPY,EUR,0.005405814715238713
1775581200,TWD,USD,0.03131556641468099
1775581200,TWD,EUR,0.02700811725057152
1775581200,USD,TWD,31.933000564575195
1775581200,USD,EUR,0.8634999952134192
1775581200,USD,JPY,159.781005859375
1775584800,EUR,USD,1.1578094959259033
1775584800,EUR,TWD,37.05569839477539
1775584800,EUR,JPY,185.00799560546875
1775584800,JPY,USD,0.006256451703287855
1775584800,JPY,EUR,0.005405171796642288
1775584800,TWD,USD,0.03130282435196954
1775584800,TWD,EUR,0.026986402721288164
1775584800,USD,TWD,31.945999145507812
1775584800,USD,EUR,0.8636999467691335
1775584800,USD,JPY,159.8350067138672
1775588400,EUR,USD,1.1598236560821533
1775588400,EUR,TWD,37.04922866821289
1775588400,EUR,JPY,185.03199768066406
1775588400,JPY,USD,0.006266763348117002
1775588400,JPY,EUR,0.005404470645806039
1775588400,TWD,USD,0.0313587758134149
1775588400,TWD,EUR,0.026991115225509933
1775588400,USD,TWD,31.888999938964844
1775588400,USD,EUR,0.8622000377005308
1775588400,USD,JPY,159.57200622558594
1775592000,EUR,USD,1.1599582433700562
